uniqueDri,uniqueTa,drugName,targetName,organism
O=C(O)CCC(=O)C(=O)O,Q9GZT9,2-ketoglutaric acid,Egl nine homolog 1;,Homo sapiens (Human).
CC(=O)OCC[N+](C)(C)C,P58154,acetylcholine,Acetylcholine-binding protein;,Lymnaea stagnalis (Great pond snail) (Helix stagnalis).
CCCC(=O)O,Q9Z429,butyric acid,Methyl-accepting chemotaxis protein NahY;,Pseudomonas putida (Arthrobacter siderocapsulatus).
O=C(O)CC(O)(CC(=O)O)C(=O)O,P15474,citric acid,3-dehydroquinate dehydratase;,Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145).
O=C(O)CC(O)C(=O)O,P9WNS1,malic acid,1-deoxy-D-xylulose 5-phosphate reductoisomerase {ECO:0000255|HAMAP-Rule:MF_00183};,Pseudomonas putida (Arthrobacter siderocapsulatus).
O=CN(O)CCCP(=O)(O)O,P07550,fosmidomycin,Beta-2 adrenergic receptor;,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv).
NCCc1ccc(O)c(O)c1,P21728,dopamine,D(1A) dopamine receptor;,Homo sapiens (Human).
NCCc1cnc[nH]1,P25102,histamine,Histamine H2 receptor;,Homo sapiens (Human).
c1ccc2[nH]ccc2c1,P31390,indole,Histamine H1 receptor;,Rattus norvegicus (Rat).
O=C([O-])Cc1c[nH]c2ccccc12,P47747,indole-3-acetate,Histamine H2 receptor;,Rattus norvegicus (Rat).
CNCC(O)c1ccc(O)c(O)c1,P0A881,DL-Adrenaline,Trp operon repressor;,Cavia porcellus (Guinea pig).
O=C(O)CC(=O)C(=O)O,P55263,oxalacetic acid,Beta-adrenergic receptor kinase 1;,Escherichia coli (strain K12).
CCCCCCCCCCCCCCCC(=O)O,P25098,palmitic acid,"Fatty acid-binding protein, adipocyte;",Homo sapiens (Human).
c1ccncc1,P15090,PYRIDINE,Fatty acid-binding protein 5 {ECO:0000305};,Escherichia coli (strain K12).
O=C(O)c1cccnc1C(=O)O,Q01469,quinolinic acid,Advanced glycosylation end product-specific receptor;,Homo sapiens (Human).
O=C(O)CCC(=O)O,P08684,succinic acid,Thiamine-binding periplasmic protein;,Pseudomonas putida (Arthrobacter siderocapsulatus).
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,Q15109,thiamine,1-deoxy-D-xylulose-5-phosphate synthase;,Homo sapiens (Human).
Cc1ncc(C[n+]2csc(CCOP(=O)(O)O)c2C)c(N)n1,P31550,thiamine monophosphate,5-hydroxytryptamine receptor 2B;,Homo sapiens (Human).
Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1,Q9RUB5,thiamine diphosphate,Translocator protein;,Escherichia coli (strain K12).
NCCc1c[nH]c2ccccc12,P30994,tryptamine,Carbonic anhydrase 2;,Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / CCUG
O=C(O)CC(C(=O)O)C(O)C(=O)O,P16257,isocitric acid,Sex hormone-binding globulin {ECO:0000305};,Pseudomonas putida (Arthrobacter siderocapsulatus).
CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,P00918,PK 11195,5-hydroxytryptamine receptor 2C {ECO:0000305};,Rattus norvegicus (Rat).
O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,P04278,8-Anilino-1-naphthalenesulfonic acid,5-hydroxytryptamine receptor 1D;,Rattus norvegicus (Rat).
